2018-05-17 18:28:13,935 [main] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ar.edu.utn.frre.tpidacs:tpidacs:1.0-SNAPSHOT @ /home/wenceslao1207/Documents/mvn/tpidacs/pom.xml.
2018-05-17 18:29:03,985 [Worker-25] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-05-17 18:29:04,661 [Worker-25] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ar.edu.utn.frre.tpidacs:tpidacs:1.0-SNAPSHOT @ /home/wenceslao1207/Documents/mvn/tpidacs/pom.xml.
2018-05-17 18:29:04,965 [Worker-25] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /tpidacs/src/main/java
2018-05-17 18:29:04,966 [Worker-25] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /tpidacs/src/test/java
2018-05-17 18:29:06,329 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 18:29:06,329 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/main/resources
2018-05-17 18:29:06,331 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 18:29:06,332 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/test/resources
2018-05-17 18:29:07,087 [Worker-25] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 3 sec
2018-05-17 18:29:08,236 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 18:29:08,237 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/main/resources
2018-05-17 18:29:08,239 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 18:29:08,239 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/test/resources
